1.0.0.0,1.0.0.255,OC,AU,Queensland,"South Brisbane",-27.4748,153.017
1.0.158.0,1.0.158.127,AS,TH,Trang,Trang,7.55633,99.6114
1.0.158.128,1.0.160.31,AS,TH,Bangkok,"Khwaeng Thung Song Hong",13.8941,100.584
1.0.160.32,1.0.160.255,AS,TH,"Nakhon Si Thammarat","Phra Phrom",8.33911,99.9009
1.0.161.0,1.0.161.255,AS,TH,Phuket,"Ban Mai Khao",8.12713,98.3074
1.0.162.0,1.0.163.255,AS,TH,Bangkok,"Khwaeng Thung Song Hong",13.8941,100.584
1.0.164.0,1.0.164.255,AS,TH,Phatthalung,"Khuan Khanun",7.7347,100.009
1.0.165.0,1.0.165.255,AS,TH,"Chiang Mai","San Pa Tong",18.6283,98.8957
1.0.166.0,1.0.166.255,AS,TH,Chumphon,"Lang Suan",9.94561,99.0785
1.0.167.0,1.0.168.255,AS,TH,Bangkok,"Khwaeng Thung Song Hong",13.8941,100.584
1.0.169.0,1.0.169.255,AS,TH,Phatthalung,Phatthalung,7.61786,100.078
1.0.170.0,1.0.170.223,AS,TH,Phatthalung,"Pa Phayom",7.84031,99.9177
1.0.170.224,1.0.176.31,AS,TH,Bangkok,"Khwaeng Thung Song Hong",13.8941,100.584
1.0.176.32,1.0.176.63,AS,TH,Rayong,"Pluak Daeng",12.9712,101.215
1.0.176.64,1.0.177.255,AS,TH,Bangkok,"Khwaeng Thung Song Hong",13.8941,100.584
1.0.178.0,1.0.179.255,AS,TH,Chanthaburi,"Tha Mai",12.6214,102.005
1.0.180.0,1.0.180.255,AS,TH,Rayong,"Ban Chang",12.7254,101.055
1.0.181.0,1.0.181.15,AS,TH,"Prachin Buri","Prachin Buri",14.0499,101.369
1.0.181.16,1.0.184.79,AS,TH,Bangkok,"Khwaeng Thung Song Hong",13.8941,100.584
1.0.184.80,1.0.184.223,AS,TH,Rayong,Rayong,12.681,101.258
1.0.184.224,1.0.185.255,AS,TH,Bangkok,"Khwaeng Thung Song Hong",13.8941,100.584
1.0.186.0,1.0.186.191,AS,TH,Chachoengsao,Chachoengsao,13.6882,101.072
1.0.186.192,1.0.188.95,AS,TH,Bangkok,"Khwaeng Thung Song Hong",13.8941,100.584
1.0.188.96,1.0.188.255,AS,TH,Rayong,"Ban Chang",12.7254,101.055
1.0.189.0,1.0.189.255,AS,TH,Trat,Trat,12.2436,102.515
1.0.190.0,1.0.190.255,AS,TH,Bangkok,"Khwaeng Thung Song Hong",13.8941,100.584
1.0.191.0,1.0.191.255,AS,TH,Chanthaburi,"Tha Mai",12.6214,102.005
1.0.192.0,1.0.193.255,AS,TH,Bangkok,"Khwaeng Thung Song Hong",13.8941,100.584
1.0.194.0,1.0.194.255,AS,TH,Phuket,Thalang,8.03169,98.3341
1.0.195.0,1.0.195.255,AS,TH,Bangkok,"Khwaeng Thung Song Hong",13.8941,100.584
1.0.196.0,1.0.196.255,AS,TH,"Surat Thani","Koh Pha Ngan",9.75778,100.029
